銘柄名,市場・商品区分,33業種区分,17業種区分
フリージア・マクロス,スタンダード（内国株式）,機械,機械 
アイチ　コーポレーション,プライム（内国株式）,機械,機械 
キクカワエンタープライズ,スタンダード（内国株式）,機械,機械 
プラコー,スタンダード（内国株式）,機械,機械 
小森コーポレーション,プライム（内国株式）,機械,機械 
鶴見製作所,プライム（内国株式）,機械,機械 
日本ギア工業,スタンダード（内国株式）,機械,機械 
三精テクノロジーズ,スタンダード（内国株式）,機械,機械 
酒井重工業,プライム（内国株式）,機械,機械 
東京自働機械製作所,スタンダード（内国株式）,機械,機械 
荏原製作所,プライム（内国株式）,機械,機械 
石井鐵工所,スタンダード（内国株式）,機械,機械 
酉島製作所,プライム（内国株式）,機械,機械 
北越工業,プライム（内国株式）,機械,機械 
電業社機械製作所,スタンダード（内国株式）,機械,機械 
千代田化工建設,スタンダード（内国株式）,建設業,建設・資材 
ダイキン工業,プライム（内国株式）,機械,機械 
オルガノ,プライム（内国株式）,機械,機械 
トーヨーカネツ,プライム（内国株式）,機械,機械 
栗田工業,プライム（内国株式）,機械,機械 
椿本チエイン,プライム（内国株式）,機械,機械 
大同工業,スタンダード（内国株式）,機械,機械 
日機装,プライム（内国株式）,精密機器,電機・精密 
木村化工機,スタンダード（内国株式）,機械,機械 
レイズネクスト,プライム（内国株式）,建設業,建設・資材 
オリエンタルチエン工業,スタンダード（内国株式）,機械,機械 
アネスト岩田,プライム（内国株式）,機械,機械 
トリニティ工業,スタンダード（内国株式）,機械,機械 
ダイフク,プライム（内国株式）,機械,機械 
昭和真空,スタンダード（内国株式）,機械,機械 
サムコ,プライム（内国株式）,機械,機械 
加藤製作所,プライム（内国株式）,機械,機械 
加地テック,スタンダード（内国株式）,機械,機械 
ヤマダコーポレーション,スタンダード（内国株式）,機械,機械 
油研工業,スタンダード（内国株式）,機械,機械 
タダノ,プライム（内国株式）,機械,機械 
宇野澤組鐵工所,スタンダード（内国株式）,機械,機械 
不二精機,スタンダード（内国株式）,機械,機械 
兼松エンジニアリング,スタンダード（内国株式）,機械,機械 
水道機工,スタンダード（内国株式）,機械,機械 
鈴茂器工,スタンダード（内国株式）,機械,機械 
フジテック,プライム（内国株式）,機械,機械 
ＣＫＤ,プライム（内国株式）,機械,機械 
小倉クラッチ,スタンダード（内国株式）,機械,機械 
中野冷機,スタンダード（内国株式）,機械,機械 
平和,プライム（内国株式）,機械,機械 
理想科学工業,プライム（内国株式）,機械,機械 
桂川電機,スタンダード（内国株式）,機械,機械 
ＳＡＮＫＹＯ,プライム（内国株式）,機械,機械 
日本金銭機械,プライム（内国株式）,機械,機械 
マースグループホールディングス,プライム（内国株式）,機械,機械 
フクシマガリレイ,プライム（内国株式）,機械,機械 
高見沢サイバネティックス,スタンダード（内国株式）,機械,機械 
ユニバーサルエンターテインメント,スタンダード（内国株式）,機械,機械 
オーイズミ,スタンダード（内国株式）,機械,機械 
ダイコク電機,プライム（内国株式）,機械,機械 
竹内製作所,プライム（内国株式）,機械,機械 
ヒーハイスト,スタンダード（内国株式）,機械,機械 
アマノ,プライム（内国株式）,機械,機械 
ＪＵＫＩ,プライム（内国株式）,機械,機械 
サンデン,スタンダード（内国株式）,機械,機械 
ジャノメ,プライム（内国株式）,機械,機械 
ブラザー工業,プライム（内国株式）,電気機器,電機・精密 
マックス,プライム（内国株式）,機械,機械 
モリタホールディングス,プライム（内国株式）,輸送用機器,自動車・輸送機 
グローリー,プライム（内国株式）,機械,機械 
新晃工業,プライム（内国株式）,機械,機械 
大和冷機工業,プライム（内国株式）,機械,機械 
セガサミーホールディングス,プライム（内国株式）,機械,機械 
ＴＰＲ,プライム（内国株式）,機械,機械 
ツバキ・ナカシマ,プライム（内国株式）,機械,機械 
ホシザキ,プライム（内国株式）,機械,機械 
ＴＶＥ,スタンダード（内国株式）,機械,機械 
ニチダイ,スタンダード（内国株式）,機械,機械 
放電精密加工研究所,スタンダード（内国株式）,機械,機械 
大豊工業,スタンダード（内国株式）,機械,機械 
日本精工,プライム（内国株式）,機械,機械 
ＮＴＮ,プライム（内国株式）,機械,機械 
ジェイテクト,プライム（内国株式）,機械,機械 
不二越,プライム（内国株式）,機械,機械 
ミネベアミツミ,プライム（内国株式）,電気機器,電機・精密 
日本トムソン,プライム（内国株式）,機械,機械 
ＴＨＫ,プライム（内国株式）,機械,機械 
ユーシン精機,スタンダード（内国株式）,機械,機械 
ＫＶＫ,スタンダード（内国株式）,機械,機械 
前澤給装工業,スタンダード（内国株式）,機械,機械 
イーグル工業,プライム（内国株式）,機械,機械 
ヨシタケ,スタンダード（内国株式）,機械,機械 
前澤工業,スタンダード（内国株式）,機械,機械 
日本ピラー工業,プライム（内国株式）,機械,機械 
岡野バルブ製造,スタンダード（内国株式）,機械,機械 
ＮＩＴＴＡＮ,スタンダード（内国株式）,輸送用機器,自動車・輸送機 
ＮＦＫホールディングス,スタンダード（内国株式）,機械,機械 
宮入バルブ製作所,スタンダード（内国株式）,機械,機械 
中北製作所,スタンダード（内国株式）,機械,機械 
ハマイ,スタンダード（内国株式）,機械,機械 
キッツ,プライム（内国株式）,機械,機械 
日立製作所,プライム（内国株式）,電気機器,電機・精密 
東芝,プライム（内国株式）,電気機器,電機・精密 
三菱電機,プライム（内国株式）,電気機器,電機・精密 
富士電機,プライム（内国株式）,電気機器,電機・精密 
東洋電機製造,スタンダード（内国株式）,電気機器,電機・精密 
安川電機,プライム（内国株式）,電気機器,電機・精密 
シンフォニアテクノロジー,プライム（内国株式）,電気機器,電機・精密 
明電舎,プライム（内国株式）,電気機器,電機・精密 
オリジン,スタンダード（内国株式）,電気機器,電機・精密 
山洋電気,プライム（内国株式）,電気機器,電機・精密 
デンヨー,プライム（内国株式）,電気機器,電機・精密 
三相電機,スタンダード（内国株式）,電気機器,電機・精密 
オキサイド,グロース（内国株式）,電気機器,電機・精密 
アスタリスク,グロース（内国株式）,電気機器,電機・精密 
ＰＨＣホールディングス,プライム（内国株式）,電気機器,電機・精密 
湖北工業,スタンダード（内国株式）,電気機器,電機・精密 
ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,プライム（内国株式）,電気機器,電機・精密 
ソシオネクスト,プライム（内国株式）,電気機器,電機・精密 
ワカ製作所,PRO Market,電気機器,電機・精密 
ベイカレント・コンサルティング,プライム（内国株式）,サービス業,情報通信・サービスその他 
Ｏｒｃｈｅｓｔｒａ　Ｈｏｌｄｉｎｇｓ,プライム（内国株式）,サービス業,情報通信・サービスその他 
アイモバイル,プライム（内国株式）,サービス業,情報通信・サービスその他 
ＷＡＳＨハウス,グロース（内国株式）,サービス業,情報通信・サービスその他 
キャリアインデックス,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
ＭＳ－Ｊａｐａｎ,プライム（内国株式）,サービス業,情報通信・サービスその他 
船場,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
ＦＣホールディングス,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
日宣,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
ジャパンエレベーターサービスホールディングス,プライム（内国株式）,サービス業,情報通信・サービスその他 
インターネットインフィニティー,グロース（内国株式）,サービス業,情報通信・サービスその他 
フルテック,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
グリーンズ,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
旅工房,グロース（内国株式）,サービス業,情報通信・サービスその他 
ディーエムソリューションズ,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
Ｕｎｉｐｏｓ,グロース（内国株式）,サービス業,情報通信・サービスその他 
ツナググループ・ホールディングス,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
ＧａｍｅＷｉｔｈ,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
エスユーエス,グロース（内国株式）,サービス業,情報通信・サービスその他 
ＭＳ＆Ｃｏｎｓｕｌｔｉｎｇ,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
ウェルビー,プライム（内国株式）,サービス業,情報通信・サービスその他 
ＡＩＡＩグループ,グロース（内国株式）,サービス業,情報通信・サービスその他 
クックビズ,グロース（内国株式）,サービス業,情報通信・サービスその他 
エル・ティー・エス,プライム（内国株式）,サービス業,情報通信・サービスその他 
ＨＡＮＡＴＯＵＲ　ＪＡＰＡＮ,グロース（内国株式）,サービス業,情報通信・サービスその他 
ジーニー,グロース（内国株式）,サービス業,情報通信・サービスその他 
みらいワークス,グロース（内国株式）,サービス業,情報通信・サービスその他 
ミダックホールディングス,プライム（内国株式）,サービス業,情報通信・サービスその他 
ＡＢホテル,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
要興業,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
ＳＥＲＩＯホールディングス,グロース（内国株式）,サービス業,情報通信・サービスその他 
神戸天然物化学,グロース（内国株式）,サービス業,情報通信・サービスその他 
共和コーポレーション,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
キュービーネットホールディングス,プライム（内国株式）,サービス業,情報通信・サービスその他 
ＲＰＡホールディングス,プライム（内国株式）,サービス業,情報通信・サービスその他 
アジャイルメディア・ネットワーク,グロース（内国株式）,サービス業,情報通信・サービスその他 
コンヴァノ,グロース（内国株式）,サービス業,情報通信・サービスその他 
揚工舎,PRO Market,サービス業,情報通信・サービスその他 
ベストワンドットコム,グロース（内国株式）,サービス業,情報通信・サービスその他 
エヌリンクス,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
ログリー,グロース（内国株式）,サービス業,情報通信・サービスその他 
ライトアップ,グロース（内国株式）,サービス業,情報通信・サービスその他 
三櫻工業,プライム（内国株式）,輸送用機器,自動車・輸送機 
マキタ,プライム（内国株式）,機械,機械 
東芝テック,プライム（内国株式）,電気機器,電機・精密 
芝浦メカトロニクス,プライム（内国株式）,電気機器,電機・精密 
マブチモーター,プライム（内国株式）,電気機器,電機・精密 
ニデック,プライム（内国株式）,電気機器,電機・精密 
筑波精工,PRO Market,電気機器,電機・精密 
ＨＰＣシステムズ,グロース（内国株式）,電気機器,電機・精密 
エブレン,スタンダード（内国株式）,電気機器,電機・精密 
バルミューダ,グロース（内国株式）,電気機器,電機・精密 
ＱＤレーザ,グロース（内国株式）,電気機器,電機・精密 
シキノハイテック,スタンダード（内国株式）,電気機器,電機・精密 
ユー・エム・シー・エレクトロニクス,プライム（内国株式）,電気機器,電機・精密 
トレックス・セミコンダクター,プライム（内国株式）,電気機器,電機・精密 
東光高岳,プライム（内国株式）,電気機器,電機・精密 
大泉製作所,グロース（内国株式）,電気機器,電機・精密 
ダブル・スコープ,プライム（内国株式）,電気機器,電機・精密 
宮越ホールディングス,プライム（内国株式）,不動産業,不動産 
ダイヘン,プライム（内国株式）,電気機器,電機・精密 
ＪＡＬＣＯホールディングス,スタンダード（内国株式）,不動産業,不動産 
ＳＥＭＩＴＥＣ,スタンダード（内国株式）,電気機器,電機・精密 
テラプローブ,スタンダード（内国株式）,電気機器,電機・精密 
テクノホライゾン,スタンダード（内国株式）,電気機器,電機・精密 
ヤーマン,プライム（内国株式）,電気機器,電機・精密 
ＪＶＣケンウッド,プライム（内国株式）,電気機器,電機・精密 
Ｃ＆Ｇシステムズ,スタンダード（内国株式）,電気機器,電機・精密 
ネクスグループ,スタンダード（内国株式）,電気機器,電機・精密 
大日光・エンジニアリング,スタンダード（内国株式）,電気機器,電機・精密 
寺崎電気産業,スタンダード（内国株式）,電気機器,電機・精密 
ミマキエンジニアリング,プライム（内国株式）,電気機器,電機・精密 
Ｉ－ＰＥＸ,プライム（内国株式）,電気機器,電機・精密 
戸上電機製作所,スタンダード（内国株式）,電気機器,電機・精密 
大崎電気工業,プライム（内国株式）,電気機器,電機・精密 
オムロン,プライム（内国株式）,電気機器,電機・精密 
森尾電機,スタンダード（内国株式）,電気機器,電機・精密 
かわでん,スタンダード（内国株式）,電気機器,電機・精密 
日東工業,プライム（内国株式）,電気機器,電機・精密 
ＩＤＥＣ,プライム（内国株式）,電気機器,電機・精密 
正興電機製作所,プライム（内国株式）,電気機器,電機・精密 
不二電機工業,スタンダード（内国株式）,電気機器,電機・精密 
インスペック,スタンダード（内国株式）,電気機器,電機・精密 
シライ電子工業,スタンダード（内国株式）,電気機器,電機・精密 
メディアリンクス,スタンダード（内国株式）,電気機器,電機・精密 
ユビテック,スタンダード（内国株式）,電気機器,電機・精密 
太洋工業,スタンダード（内国株式）,電気機器,電機・精密 
オプトエレクトロニクス,スタンダード（内国株式）,電気機器,電機・精密 
リバーエレテック,スタンダード（内国株式）,電気機器,電機・精密 
アドテック　プラズマ　テクノロジー,スタンダード（内国株式）,電気機器,電機・精密 
ＭＣＪ,スタンダード（内国株式）,電気機器,電機・精密 
ジーエス・ユアサ　コーポレーション,プライム（内国株式）,電気機器,電機・精密 
サクサホールディングス,スタンダード（内国株式）,電気機器,電機・精密 
メルコホールディングス,スタンダード（内国株式）,電気機器,電機・精密 
エスケーエレクトロニクス,スタンダード（内国株式）,電気機器,電機・精密 
テクノメディカ,スタンダード（内国株式）,電気機器,電機・精密 
ズーム,スタンダード（内国株式）,電気機器,電機・精密 
トリプルワン,PRO Market,電気機器,電機・精密 
トラース・オン・プロダクト,グロース（内国株式）,電気機器,電機・精密 
テックポイント・インク　ＪＤＲ,グロース（外国株式）,電気機器,電機・精密 
ヴィスコ・テクノロジーズ,スタンダード（内国株式）,電気機器,電機・精密 
ダイヤモンドエレクトリックホールディングス,プライム（内国株式）,電気機器,電機・精密 
日本電気,プライム（内国株式）,電気機器,電機・精密 
富士通,プライム（内国株式）,電気機器,電機・精密 
沖電気工業,プライム（内国株式）,電気機器,電機・精密 
岩崎通信機,スタンダード（内国株式）,電気機器,電機・精密 
電気興業,プライム（内国株式）,電気機器,電機・精密 
サンケン電気,プライム（内国株式）,電気機器,電機・精密 
ナカヨ,スタンダード（内国株式）,電気機器,電機・精密 
アイホン,プライム（内国株式）,電気機器,電機・精密 
ウインテスト,スタンダード（内国株式）,電気機器,電機・精密 
ルネサスエレクトロニクス,プライム（内国株式）,電気機器,電機・精密 
セイコーエプソン,プライム（内国株式）,電気機器,電機・精密 
ワコム,プライム（内国株式）,電気機器,電機・精密 
アルバック,プライム（内国株式）,電気機器,電機・精密 
アクセル,スタンダード（内国株式）,電気機器,電機・精密 
ピクセラ,スタンダード（内国株式）,電気機器,電機・精密 
ニューテック,スタンダード（内国株式）,電気機器,電機・精密 
サン電子,スタンダード（内国株式）,電気機器,電機・精密 
ＥＩＺＯ,プライム（内国株式）,電気機器,電機・精密 
ジャパンディスプレイ,プライム（内国株式）,電気機器,電機・精密 
日本信号,プライム（内国株式）,電気機器,電機・精密 
京三製作所,プライム（内国株式）,電気機器,電機・精密 
大同信号,スタンダード（内国株式）,電気機器,電機・精密 
能美防災,プライム（内国株式）,電気機器,電機・精密 
ホーチキ,プライム（内国株式）,電気機器,電機・精密 
星和電機,スタンダード（内国株式）,電気機器,電機・精密 
エレコム,プライム（内国株式）,電気機器,電機・精密 
パナソニック　ホールディングス,プライム（内国株式）,電気機器,電機・精密 
シャープ,プライム（内国株式）,電気機器,電機・精密 
アンリツ,プライム（内国株式）,電気機器,電機・精密 
富士通ゼネラル,プライム（内国株式）,電気機器,電機・精密 
ＯＳＧコーポレーション,スタンダード（内国株式）,電気機器,電機・精密 
ソニーグループ,プライム（内国株式）,電気機器,電機・精密 
ＴＤＫ,プライム（内国株式）,電気機器,電機・精密 
帝国通信工業,プライム（内国株式）,電気機器,電機・精密 
タムラ製作所,プライム（内国株式）,電気機器,電機・精密 
ザインエレクトロニクス,スタンダード（内国株式）,電気機器,電機・精密 
アルプスアルパイン,プライム（内国株式）,電気機器,電機・精密 
池上通信機,スタンダード（内国株式）,電気機器,電機・精密 
東京コスモス電機,スタンダード（内国株式）,電気機器,電機・精密 
ＴＢグループ,スタンダード（内国株式）,電気機器,電機・精密 
天昇電気工業,スタンダード（内国株式）,化学,素材・化学 
ｓａｎｔｅｃ　Ｈｏｌｄｉｎｇｓ,スタンダード（内国株式）,電気機器,電機・精密 
アルチザネットワークス,スタンダード（内国株式）,電気機器,電機・精密 
日本電波工業,プライム（内国株式）,電気機器,電機・精密 
鈴木,プライム（内国株式）,電気機器,電機・精密 
ＲＶＨ,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
メイコー,プライム（内国株式）,電気機器,電機・精密 
日本トリム,プライム（内国株式）,電気機器,電機・精密 
ローランド　ディー．ジー．,プライム（内国株式）,電気機器,電機・精密 
フォスター電機,プライム（内国株式）,電気機器,電機・精密 
ＳＭＫ,プライム（内国株式）,電気機器,電機・精密 
ヨコオ,プライム（内国株式）,電気機器,電機・精密 
ティアック,スタンダード（内国株式）,電気機器,電機・精密 
ホシデン,プライム（内国株式）,電気機器,電機・精密 
ヒロセ電機,プライム（内国株式）,電気機器,電機・精密 
日本航空電子工業,プライム（内国株式）,電気機器,電機・精密 
ＴＯＡ,プライム（内国株式）,電気機器,電機・精密 
マクセル,プライム（内国株式）,電気機器,電機・精密 
古野電気,プライム（内国株式）,電気機器,電機・精密 
スミダコーポレーション,プライム（内国株式）,電気機器,電機・精密 
伊豆シャボテンリゾート,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
アイコム,プライム（内国株式）,電気機器,電機・精密 
大井電気,スタンダード（内国株式）,電気機器,電機・精密 
リオン,プライム（内国株式）,電気機器,電機・精密 
新コスモス電機,スタンダード（内国株式）,電気機器,電機・精密 
アオイ電子,スタンダード（内国株式）,電気機器,電機・精密 
精工技研,スタンダード（内国株式）,電気機器,電機・精密 
アライドテレシスホールディングス,スタンダード（内国株式）,電気機器,電機・精密 
ぷらっとホーム,スタンダード（内国株式）,電気機器,電機・精密 
京写,スタンダード（内国株式）,電気機器,電機・精密 
多摩川ホールディングス,スタンダード（内国株式）,電気機器,電機・精密 
ＡＫＩＢＡホールディングス,スタンダード（内国株式）,電気機器,電機・精密 
横河電機,プライム（内国株式）,電気機器,電機・精密 
新電元工業,プライム（内国株式）,電気機器,電機・精密 
アズビル,プライム（内国株式）,電気機器,電機・精密 
東亜ディーケーケー,スタンダード（内国株式）,電気機器,電機・精密 
日本光電工業,プライム（内国株式）,電気機器,電機・精密 
チノー,プライム（内国株式）,電気機器,電機・精密 
共和電業,スタンダード（内国株式）,電気機器,電機・精密 
日本電子材料,スタンダード（内国株式）,電気機器,電機・精密 
堀場製作所,プライム（内国株式）,電気機器,電機・精密 
アドバンテスト,プライム（内国株式）,電気機器,電機・精密 
小野測器,スタンダード（内国株式）,電気機器,電機・精密 
エスペック,プライム（内国株式）,電気機器,電機・精密 
キーエンス,プライム（内国株式）,電気機器,電機・精密 
ミナトホールディングス,スタンダード（内国株式）,電気機器,電機・精密 
ニレコ,スタンダード（内国株式）,電気機器,電機・精密 
エヌエフホールディングス,スタンダード（内国株式）,電気機器,電機・精密 
日置電機,プライム（内国株式）,電気機器,電機・精密 
リーダー電子,スタンダード（内国株式）,電気機器,電機・精密 
シスメックス,プライム（内国株式）,電気機器,電機・精密 
日本フェンオール,スタンダード（内国株式）,電気機器,電機・精密 
日本マイクロニクス,プライム（内国株式）,電気機器,電機・精密 
協立電機,スタンダード（内国株式）,電気機器,電機・精密 
メガチップス,プライム（内国株式）,電気機器,電機・精密 
ＯＢＡＲＡ　ＧＲＯＵＰ,スタンダード（内国株式）,電気機器,電機・精密 
ＩＭＡＧＩＣＡ　ＧＲＯＵＰ,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
三社電機製作所,スタンダード（内国株式）,電気機器,電機・精密 
アクモス,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
フェローテックホールディングス,スタンダード（内国株式）,電気機器,電機・精密 
パルステック工業,スタンダード（内国株式）,電気機器,電機・精密 
ツインバード,スタンダード（内国株式）,電気機器,電機・精密 
トミタ電機,スタンダード（内国株式）,電気機器,電機・精密 
ＡＳＴＩ,スタンダード（内国株式）,電気機器,電機・精密 
澤藤電機,スタンダード（内国株式）,電気機器,電機・精密 
デンソー,プライム（内国株式）,輸送用機器,自動車・輸送機 
原田工業,スタンダード（内国株式）,電気機器,電機・精密 
コーセル,プライム（内国株式）,電気機器,電機・精密 
ジオマテック,スタンダード（内国株式）,電気機器,電機・精密 
イリソ電子工業,プライム（内国株式）,電気機器,電機・精密 
菊水ホールディングス,スタンダード（内国株式）,電気機器,電機・精密 
オプテックスグループ,プライム（内国株式）,電気機器,電機・精密 
千代田インテグレ,スタンダード（内国株式）,電気機器,電機・精密 
アバールデータ,スタンダード（内国株式）,電気機器,電機・精密 
ケル,スタンダード（内国株式）,電気機器,電機・精密 
レーザーテック,プライム（内国株式）,電気機器,電機・精密 
スタンレー電気,プライム（内国株式）,電気機器,電機・精密 
ウシオ電機,プライム（内国株式）,電気機器,電機・精密 
岡谷電機産業,スタンダード（内国株式）,電気機器,電機・精密 
ヘリオス　テクノ　ホールディング,スタンダード（内国株式）,電気機器,電機・精密 
エノモト,プライム（内国株式）,電気機器,電機・精密 
日本セラミック,プライム（内国株式）,電気機器,電機・精密 
日本アンテナ,スタンダード（内国株式）,電気機器,電機・精密 
遠藤照明,スタンダード（内国株式）,電気機器,電機・精密 
古河電池,プライム（内国株式）,電気機器,電機・精密 
双信電機,スタンダード（内国株式）,電気機器,電機・精密 
山一電機,プライム（内国株式）,電気機器,電機・精密 
ソフィアホールディングス,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
ＮＫＫスイッチズ,スタンダード（内国株式）,電気機器,電機・精密 
日本アビオニクス,スタンダード（内国株式）,電気機器,電機・精密 
図研,プライム（内国株式）,電気機器,電機・精密 
日本電子,プライム（内国株式）,電気機器,電機・精密 
カシオ計算機,プライム（内国株式）,電気機器,電機・精密 
ファナック,プライム（内国株式）,電気機器,電機・精密 
ＦＤＫ,スタンダード（内国株式）,電気機器,電機・精密 
芝浦電子,スタンダード（内国株式）,電気機器,電機・精密 
日本シイエムケイ,プライム（内国株式）,電気機器,電機・精密 
フクダ電子,スタンダード（内国株式）,電気機器,電機・精密 
エンプラス,プライム（内国株式）,電気機器,電機・精密 
大真空,プライム（内国株式）,電気機器,電機・精密 
ローム,プライム（内国株式）,電気機器,電機・精密 
サンコー,スタンダード（内国株式）,電気機器,電機・精密 
浜松ホトニクス,プライム（内国株式）,電気機器,電機・精密 
三井ハイテック,プライム（内国株式）,電気機器,電機・精密 
新光電気工業,プライム（内国株式）,電気機器,電機・精密 
松尾電機,スタンダード（内国株式）,電気機器,電機・精密 
京セラ,プライム（内国株式）,電気機器,電機・精密 
協栄産業,スタンダード（内国株式）,卸売業,商社・卸売 
太陽誘電,プライム（内国株式）,電気機器,電機・精密 
日本抵抗器製作所,スタンダード（内国株式）,電気機器,電機・精密 
村田製作所,プライム（内国株式）,電気機器,電機・精密 
リード,スタンダード（内国株式）,輸送用機器,自動車・輸送機 
双葉電子工業,プライム（内国株式）,電気機器,電機・精密 
日東電工,プライム（内国株式）,化学,素材・化学 
北陸電気工業,スタンダード（内国株式）,電気機器,電機・精密 
大黒屋ホールディングス,スタンダード（内国株式）,小売業,小売 
指月電機製作所,スタンダード（内国株式）,電気機器,電機・精密 
東海理化電機製作所,プライム（内国株式）,輸送用機器,自動車・輸送機 
ニチコン,プライム（内国株式）,電気機器,電機・精密 
日本ケミコン,プライム（内国株式）,電気機器,電機・精密 
日本タングステン,スタンダード（内国株式）,電気機器,電機・精密 
ＫＯＡ,プライム（内国株式）,電気機器,電機・精密 
三井Ｅ＆Ｓ,プライム（内国株式）,機械,機械 
日立造船,プライム（内国株式）,機械,機械 
三菱重工業,プライム（内国株式）,機械,機械 
川崎重工業,プライム（内国株式）,輸送用機器,自動車・輸送機 
ＩＨＩ,プライム（内国株式）,機械,機械 
名村造船所,スタンダード（内国株式）,輸送用機器,自動車・輸送機 
内海造船,スタンダード（内国株式）,輸送用機器,自動車・輸送機 
ニッチツ,スタンダード（内国株式）,機械,機械 
サノヤスホールディングス,スタンダード（内国株式）,機械,機械 
スプリックス,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
インバウンドテック,グロース（内国株式）,サービス業,情報通信・サービスその他 
マネジメントソリューションズ,プライム（内国株式）,サービス業,情報通信・サービスその他 
プロレド・パートナーズ,プライム（内国株式）,サービス業,情報通信・サービスその他 
ａｎｄ　ｆａｃｔｏｒｙ,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
イーエムネットジャパン,グロース（内国株式）,サービス業,情報通信・サービスその他 
テノ．ホールディングス,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
フロンティア・マネジメント,プライム（内国株式）,サービス業,情報通信・サービスその他 
ブリッジインターナショナル,グロース（内国株式）,サービス業,情報通信・サービスその他 
サン・ライフホールディング,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
ＣＲＧホールディングス,グロース（内国株式）,サービス業,情報通信・サービスその他 
アクセスグループ・ホールディングス,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
アルー,グロース（内国株式）,サービス業,情報通信・サービスその他 
ピアラ,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
ＴＤＳＥ,グロース（内国株式）,サービス業,情報通信・サービスその他 
ポート,グロース（内国株式）,サービス業,情報通信・サービスその他 
ベルトラ,グロース（内国株式）,サービス業,情報通信・サービスその他 
識学,グロース（内国株式）,サービス業,情報通信・サービスその他 
フロンティアインターナショナル,グロース（内国株式）,サービス業,情報通信・サービスその他 
マルク,PRO Market,サービス業,情報通信・サービスその他 
エヌ・シー・エヌ,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
共栄セキュリティーサービス,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
コプロ・ホールディングス,プライム（内国株式）,サービス業,情報通信・サービスその他 
ギークス,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
日本ホスピスホールディングス,グロース（内国株式）,サービス業,情報通信・サービスその他 
フレアス,グロース（内国株式）,サービス業,情報通信・サービスその他 
Ｂｉｒｄｍａｎ,グロース（内国株式）,サービス業,情報通信・サービスその他 
ハウテレビジョン,グロース（内国株式）,サービス業,情報通信・サービスその他 
ユーピーアール,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
ピアズ,グロース（内国株式）,サービス業,情報通信・サービスその他 
ブランディングテクノロジー,グロース（内国株式）,サービス業,情報通信・サービスその他 
フィードフォースグループ,グロース（内国株式）,サービス業,情報通信・サービスその他 
サイバー・バズ,グロース（内国株式）,サービス業,情報通信・サービスその他 
アンビスホールディングス,プライム（内国株式）,サービス業,情報通信・サービスその他 
インティメート・マージャー,グロース（内国株式）,サービス業,情報通信・サービスその他 
ジェイック,グロース（内国株式）,サービス業,情報通信・サービスその他 
トゥエンティーフォーセブン,グロース（内国株式）,サービス業,情報通信・サービスその他 
ＡＬｉＮＫインターネット,グロース（内国株式）,サービス業,情報通信・サービスその他 
ＩＮＣＬＵＳＩＶＥ,グロース（内国株式）,サービス業,情報通信・サービスその他 
ＷＤＢココ,グロース（内国株式）,サービス業,情報通信・サービスその他 
スポーツフィールド,グロース（内国株式）,サービス業,情報通信・サービスその他 
コーユーレンティア,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
ジモティー,グロース（内国株式）,サービス業,情報通信・サービスその他 
ＡＨＣグループ,グロース（内国株式）,サービス業,情報通信・サービスその他 
Ｋｉｄｓ　Ｓｍｉｌｅ　Ｈｏｌｄｉｎｇｓ,グロース（内国株式）,サービス業,情報通信・サービスその他 
カーブスホールディングス,プライム（内国株式）,サービス業,情報通信・サービスその他 
きずなホールディングス,グロース（内国株式）,サービス業,情報通信・サービスその他 
ウイルテック,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
フォーラムエンジニアリング,プライム（内国株式）,サービス業,情報通信・サービスその他 
フォースタートアップス,グロース（内国株式）,サービス業,情報通信・サービスその他 
