銘柄名,市場・商品区分,33業種区分,17業種区分
日本エスコン,プライム（内国株式）,不動産業,不動産 
新日本建物,スタンダード（内国株式）,不動産業,不動産 
ＲＥＶＯＬＵＴＩＯＮ,スタンダード（内国株式）,不動産業,不動産 
ＭＩＲＡＲＴＨホールディングス,プライム（内国株式）,不動産業,不動産 
センチュリー２１・ジャパン,スタンダード（内国株式）,不動産業,不動産 
サンウッド,スタンダード（内国株式）,不動産業,不動産 
ＡＶＡＮＴＩＡ,スタンダード（内国株式）,不動産業,不動産 
イオンモール,プライム（内国株式）,不動産業,不動産 
毎日コムネット,スタンダード（内国株式）,不動産業,不動産 
エリアクエスト,スタンダード（内国株式）,不動産業,不動産 
エリアリンク,スタンダード（内国株式）,不動産業,不動産 
ファースト住建,スタンダード（内国株式）,不動産業,不動産 
ランド,スタンダード（内国株式）,不動産業,不動産 
カチタス,プライム（内国株式）,不動産業,不動産 
東祥,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
シーズクリエイト,PRO Market,不動産業,不動産 
トーセイ,プライム（内国株式）,不動産業,不動産 
アルデプロ,スタンダード（内国株式）,不動産業,不動産 
明豊エンタープライズ,スタンダード（内国株式）,不動産業,不動産 
穴吹興産,スタンダード（内国株式）,不動産業,不動産 
青山財産ネットワークス,スタンダード（内国株式）,不動産業,不動産 
和田興産,スタンダード（内国株式）,不動産業,不動産 
サンフロンティア不動産,プライム（内国株式）,不動産業,不動産 
ＦＪネクストホールディングス,プライム（内国株式）,不動産業,不動産 
グローム・ホールディングス,グロース（内国株式）,不動産業,不動産 
インテリックス,スタンダード（内国株式）,不動産業,不動産 
ランドビジネス,スタンダード（内国株式）,不動産業,不動産 
サンネクスタグループ,スタンダード（内国株式）,不動産業,不動産 
ＡＳＩＡＮ　ＳＴＡＲ,スタンダード（内国株式）,不動産業,不動産 
誠建設工業,スタンダード（内国株式）,不動産業,不動産 
ハウスフリーダム,スタンダード（内国株式）,不動産業,不動産 
グランディハウス,プライム（内国株式）,不動産業,不動産 
東武鉄道,プライム（内国株式）,陸運業,運輸・物流 
相鉄ホールディングス,プライム（内国株式）,陸運業,運輸・物流 
東急,プライム（内国株式）,陸運業,運輸・物流 
京浜急行電鉄,プライム（内国株式）,陸運業,運輸・物流 
小田急電鉄,プライム（内国株式）,陸運業,運輸・物流 
京王電鉄,プライム（内国株式）,陸運業,運輸・物流 
京成電鉄,プライム（内国株式）,陸運業,運輸・物流 
富士急行,プライム（内国株式）,陸運業,運輸・物流 
秩父鉄道,スタンダード（内国株式）,陸運業,運輸・物流 
新潟交通,スタンダード（内国株式）,陸運業,運輸・物流 
東日本旅客鉄道,プライム（内国株式）,陸運業,運輸・物流 
西日本旅客鉄道,プライム（内国株式）,陸運業,運輸・物流 
東海旅客鉄道,プライム（内国株式）,陸運業,運輸・物流 
西武ホールディングス,プライム（内国株式）,陸運業,運輸・物流 
鴻池運輸,プライム（内国株式）,陸運業,運輸・物流 
ゼロ,スタンダード（内国株式）,陸運業,運輸・物流 
ヒガシトゥエンティワン,スタンダード（内国株式）,陸運業,運輸・物流 
西日本鉄道,プライム（内国株式）,陸運業,運輸・物流 
広島電鉄,スタンダード（内国株式）,陸運業,運輸・物流 
南総通運,スタンダード（内国株式）,陸運業,運輸・物流 
東部ネットワーク,スタンダード（内国株式）,陸運業,運輸・物流 
ハマキョウレックス,プライム（内国株式）,陸運業,運輸・物流 
サカイ引越センター,プライム（内国株式）,陸運業,運輸・物流 
近鉄グループホールディングス,プライム（内国株式）,陸運業,運輸・物流 
阪急阪神ホールディングス,プライム（内国株式）,陸運業,運輸・物流 
南海電気鉄道,プライム（内国株式）,陸運業,運輸・物流 
京阪ホールディングス,プライム（内国株式）,陸運業,運輸・物流 
神戸電鉄,プライム（内国株式）,陸運業,運輸・物流 
名古屋鉄道,プライム（内国株式）,陸運業,運輸・物流 
京福電気鉄道,スタンダード（内国株式）,陸運業,運輸・物流 
センコン物流,スタンダード（内国株式）,陸運業,運輸・物流 
山陽電気鉄道,プライム（内国株式）,陸運業,運輸・物流 
アルプス物流,プライム（内国株式）,陸運業,運輸・物流 
遠州トラック,スタンダード（内国株式）,陸運業,運輸・物流 
トランコム,プライム（内国株式）,倉庫・運輸関連業,運輸・物流 
カンダホールディングス,スタンダード（内国株式）,陸運業,運輸・物流 
日本ロジテム,スタンダード（内国株式）,陸運業,運輸・物流 
岡山県貨物運送,スタンダード（内国株式）,陸運業,運輸・物流 
ヤマトホールディングス,プライム（内国株式）,陸運業,運輸・物流 
山九,プライム（内国株式）,陸運業,運輸・物流 
日新,プライム（内国株式）,倉庫・運輸関連業,運輸・物流 
丸運,スタンダード（内国株式）,陸運業,運輸・物流 
丸全昭和運輸,プライム（内国株式）,陸運業,運輸・物流 
センコーグループホールディングス,プライム（内国株式）,陸運業,運輸・物流 
トナミホールディングス,プライム（内国株式）,陸運業,運輸・物流 
ニッコンホールディングス,プライム（内国株式）,陸運業,運輸・物流 
京極運輸商事,スタンダード（内国株式）,陸運業,運輸・物流 
日本石油輸送,スタンダード（内国株式）,陸運業,運輸・物流 
福山通運,プライム（内国株式）,陸運業,運輸・物流 
セイノーホールディングス,プライム（内国株式）,陸運業,運輸・物流 
エスライングループ本社,スタンダード（内国株式）,陸運業,運輸・物流 
神奈川中央交通,プライム（内国株式）,陸運業,運輸・物流 
大和自動車交通,スタンダード（内国株式）,陸運業,運輸・物流 
神姫バス,スタンダード（内国株式）,陸運業,運輸・物流 
タカセ,スタンダード（内国株式）,陸運業,運輸・物流 
ＡＺ－ＣＯＭ丸和ホールディングス,プライム（内国株式）,陸運業,運輸・物流 
Ｃ＆Ｆロジホールディングス,プライム（内国株式）,陸運業,運輸・物流 
日本郵船,プライム（内国株式）,海運業,運輸・物流 
商船三井,プライム（内国株式）,海運業,運輸・物流 
川崎汽船,プライム（内国株式）,海運業,運輸・物流 
ＮＳユナイテッド海運,プライム（内国株式）,海運業,運輸・物流 
明海グループ,スタンダード（内国株式）,海運業,運輸・物流 
飯野海運,プライム（内国株式）,海運業,運輸・物流 
玉井商船,スタンダード（内国株式）,海運業,運輸・物流 
共栄タンカー,スタンダード（内国株式）,海運業,運輸・物流 
九州旅客鉄道,プライム（内国株式）,陸運業,運輸・物流 
ＳＧホールディングス,プライム（内国株式）,陸運業,運輸・物流 
ビーイングホールディングス,スタンダード（内国株式）,陸運業,運輸・物流 
五健堂,PRO Market,陸運業,運輸・物流 
ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,プライム（内国株式）,陸運業,運輸・物流 
大友ロジスティクスサービス,PRO Market,陸運業,運輸・物流 
はなホールディングス,PRO Market,サービス業,情報通信・サービスその他 
シーユーシー,グロース（内国株式）,サービス業,情報通信・サービスその他 
Ｗ　ＴＯＫＹＯ,グロース（内国株式）,サービス業,情報通信・サービスその他 
ノバレーゼ,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
ＩＤ＆Ｅホールディングス,プライム（内国株式）,サービス業,情報通信・サービスその他 
ブリーチ,グロース（内国株式）,サービス業,情報通信・サービスその他 
ナレルグループ,グロース（内国株式）,サービス業,情報通信・サービスその他 
トライト,グロース（内国株式）,サービス業,情報通信・サービスその他 
クオルテック,グロース（内国株式）,サービス業,情報通信・サービスその他 
ＧＥＮＤＡ,グロース（内国株式）,サービス業,情報通信・サービスその他 
フトン巻きのジロー,PRO Market,サービス業,情報通信・サービスその他 
ライズ・コンサルティング・グループ,グロース（内国株式）,サービス業,情報通信・サービスその他 
大伸社,PRO Market,サービス業,情報通信・サービスその他 
栗林商船,スタンダード（内国株式）,海運業,運輸・物流 
東海汽船,スタンダード（内国株式）,海運業,運輸・物流 
東京汽船,スタンダード（内国株式）,倉庫・運輸関連業,運輸・物流 
日本航空,プライム（内国株式）,空運業,運輸・物流 
ＡＮＡホールディングス,プライム（内国株式）,空運業,運輸・物流 
スカイマーク,グロース（内国株式）,空運業,運輸・物流 
スターフライヤー,スタンダード（内国株式）,空運業,運輸・物流 
エフ・コード,グロース（内国株式）,サービス業,情報通信・サービスその他 
Ｇｒｅｅｎ　Ｅａｒｔｈ　Ｉｎｓｔｉｔｕｔｅ,グロース（内国株式）,サービス業,情報通信・サービスその他 
セイファート,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
Ｒｅｃｏｖｅｒｙ　Ｉｎｔｅｒｎａｔｉｏｎａｌ,グロース（内国株式）,サービス業,情報通信・サービスその他 
ＣａＳｙ,グロース（内国株式）,サービス業,情報通信・サービスその他 
ビーウィズ,プライム（内国株式）,サービス業,情報通信・サービスその他 
メンタルヘルステクノロジーズ,グロース（内国株式）,サービス業,情報通信・サービスその他 
ギックス,グロース（内国株式）,サービス業,情報通信・サービスその他 
エフビー介護サービス,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
フルハシＥＰＯ,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
ｍａｎａｂｙ,PRO Market,サービス業,情報通信・サービスその他 
環境のミカタ,PRO Market,サービス業,情報通信・サービスその他 
ブリッジコンサルティンググループ,グロース（内国株式）,サービス業,情報通信・サービスその他 
アイガー,PRO Market,サービス業,情報通信・サービスその他 
マイクロ波化学,グロース（内国株式）,サービス業,情報通信・サービスその他 
サンウェルズ,グロース（内国株式）,サービス業,情報通信・サービスその他 
パスコ,スタンダード（内国株式）,空運業,運輸・物流 
アジア航測,スタンダード（内国株式）,空運業,運輸・物流 
売れるネット広告社,グロース（内国株式）,サービス業,情報通信・サービスその他 
ジャパンＭ＆Ａソリューション,グロース（内国株式）,サービス業,情報通信・サービスその他 
笑美面,グロース（内国株式）,サービス業,情報通信・サービスその他 
バリュークリエーション,グロース（内国株式）,サービス業,情報通信・サービスその他 
ケーイーティ,PRO Market,サービス業,情報通信・サービスその他 
デリバリーコンサルティング,グロース（内国株式）,サービス業,情報通信・サービスその他 
フューチャーリンクネットワーク,グロース（内国株式）,サービス業,情報通信・サービスその他 
メディア総研,グロース（内国株式）,サービス業,情報通信・サービスその他 
富士テクノホールディングス,PRO Market,サービス業,情報通信・サービスその他 
デジタリフト,グロース（内国株式）,サービス業,情報通信・サービスその他 
リベロ,グロース（内国株式）,サービス業,情報通信・サービスその他 
プロジェクトカンパニー,グロース（内国株式）,サービス業,情報通信・サービスその他 
ＴＲＥホールディングス,プライム（内国株式）,サービス業,情報通信・サービスその他 
人・夢・技術グループ,プライム（内国株式）,サービス業,情報通信・サービスその他 
日本エコシステム,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
ＧＲＣＳ,グロース（内国株式）,サービス業,情報通信・サービスその他 
